N,Diamantes y pedernales,120,0.4,Jose Maria Arguedas
E,ENCICLOPEDIA SALVAT,2000,12,78323,2015
N,El otonio del patriarca,105,0.5,Gabriel Garcia Marquez
N,El viejo y el mar,110,0.4,Hernest Hemingway
N,Confesiones de una mascara,80,0.3,Yukio Mishima
N,La Iliada,200,0.5,Homero
N,Las aventuras de Pinocho,120,0.4,Carlo Collodi
N,Cien anios de soledad,210,0.5,Gabriel Garcia Marquez
N,Todo se desmorona,100,0.4,Chinua Achebe
E,LA ENCICLOPEDIA DE LOS BARCOS,544,2,35902,2014
E,LA ENCICLOPEDIA DE LOS DINOSAURIOS,448,2,36225,2018
N,La chica del tren,100,0.4,Paula Hawkins
N,Espania con honra,104,0.4,Daniel Aquillue
N,Los pilares de la tierra,98,0.3,Ken Follett
N,El doble,120,0.4,Fiodor Dostoyevski
N,Apocalipticos e integrados,120,0.4,Umberto Eco
R,Boletin de Arqueologia PUCP,40,0.25,10292004,2023,3
R,Boletin de Arqueologia PUCP,45,0.25,10292004,2023,2
R,Boletin de Arqueologia PUCP,48,0.25,10292004,2023,1
R,Boletin de Arqueologia PUCP,50,0.25,10292004,2022,3
R,Boletin de Arqueologia PUCP,52,0.25,10292004,2022,2
R,Boletin de Arqueologia PUCP,52,0.25,10292004,2021,4
R,Boletin de Arqueologia PUCP,52,0.25,10292004,2021,2
R,Boletin de Arqueologia PUCP,52,0.25,10292004,2019,1
N,Relato de un naufrago,120,0.4,Gabriel Garcia Marquez
N,El handicap de la vida,100,0.3,Rudyard Kipling
N,Las aventuras de Sherlock Holmes,104,0.4,Arthur Conan Doyle
N,El pendulo de Foucault,98,0.3,Umberto Eco
N,El cementerio de Praga,100,0.4,Umberto Eco
N,El problema final,100,0.4,Arturo Perez-Reverte
N,Ficciones,104,0.4,Jorge Luis Borges
N,Travesuras de la ninia mala,78,0.3,Mario Vargas Llosa
N,Tormenta de espadas,100,0.4,George R.R.Martin
N,El evangelio seg n Jesucristo,100,0.5,Jose Saramago
N,Los tres mosqueteros,100,0.3,Alejandro Dumas
N,El nombre de la rosa,105,0.6,Umberto Eco
N,El codigo Da Vinci,120,0.5,Dan Brown
N,Revolucion,120,0.5,Arturo Perez-Reverte
N,Harry Potter y la Orden del Fenix ( Harry Potter 5),120,0.5,J. K. Rowling
N,Hombres buenos,120,0.5,Arturo Perez-Reverte
N,La piel del tambor,120,0.5,Arturo Perez-Reverte
N,Don Quijote de la Mancha,120,0.7,Miguel de Cervantes
N,Paris era una fiesta,120,0.5,Hernest Hemingway
N,Un dia de colera,120,0.5,Arturo Perez-Reverte
N,Moby Dick,120,0.5,Herman Melville
N,Fortaleza digitali,120,0.5,Dan Brown
N,El corazon de las tinieblas,120,0.5,Joseph Conrad
N,Una historia de Espania,120,0.5,Arturo Perez-Reverte
N,Cumbres borrascosas,120,0.5,Emily Bront 
N,Historia de la Edad Media,120,0.5,Indro Montanelli
N,El Hobbit,120,0.5,J.R.R. Tolkien
N,1984,120,0.5,George Orwell
N,La Eneida,120,0.5,Virgilio
N,Dioses tumbas y sabios,120,0.5,C. W. Ceram
N,El Principito,80,0.4,Antoine de Saint-Exupery
N,El hombre que pudo reinar,120,0.5,Rudyard Kipling
N,Los hombres que no amaban a las mujeres,120,0.5,Stieg Larsson
N,En el camino,120,0.5,Jack Kerouac
N,El perfume,110,0.5,Patrick Suskind
R,Educacion,48,0.18,10199403,2024,6
R,Educacion,50,0.18,10199403,2023,3
R,Educacion,52,0.18,10199403,2023,2
R,Educacion,46,0.18,10199403,2023,1
R,Educacion,48,0.18,10199403,2022,5
R,Educacion,48,0.18,10199403,2022,4
R,Educacion,48,0.18,10199403,2022,3
N,El eterno marido,120,0.5,Fiodor Dostoyevski
N,La transformacion del mundo,120,0.5,J rgen Osterhammel
N,La isla del tesoro,120,0.5,Robert Louis Stevenson
N,Juego de tronos,120,0.7,George R.R.Martin
N,Mil soles esplendidos,120,0.5,Khaled Hosseini
N,Capitanes intrepidos,120,0.5,Rudyard Kipling
N,Los barcos se pierden en tierra,120,0.5,Arturo Perez-Reverte
N,El guardian entre el centeno,120,0.5,J. D. Salinger
N,Historia del siglo XX: 1914-1991,120,0.5,Eric Hobsbawm
N,El Maestro y Margarita,120,0.5,Mijail Bulgakov
N,Las aventuras de Huckleberry Finn,120,0.5,Mark Twain
N,Los diarios de Adan y Eva,120,0.5,Mark Twain
N,La ciudad y los perros,120,0.5,Mario Vargas Llosa
N,Mi isla,120,0.5,Elisabet Benavent
N,El francotirador paciente,120,0.5,Arturo Perez-Reverte
N,Divina comedia,150,0.7,Dante Alighieri
R,Revista de Psicolog a,50,0.2,12549247,2024,1
R,Revista de Psicolog a,48,0.2,12549247,2023,2
R,Revista de Psicolog a,40,0.2,12549247,2023,1
R,Revista de Psicolog a,45,0.2,12549247,2022,1
R,Historica,46,0.25,2223375,2023,2
R,Historica,48,0.25,2223375,2023,1
R,Historica,40,0.25,2223375,2022,5
R,Historica,45,0.25,2223375,2022,4
R,Historica,48,0.25,2223375,2022,3
R,Historica,50,0.25,2223375,2022,1
R,Historica,52,0.25,2223375,2019,3
E,ENCICLOPEDIA VIDA SALVAJE DEL MUNDO,480,2,17974,2020
E,ATLAS ILUSTRADO - MATEMATICAS E INFORMATICA,252,1.5,46903,2022
N,Rimas y leyendas,104,0.4,Gustavo Adolfo Becquer
N,La tabla de Flandes,105,0.4,Arturo Perez-Reverte
N,Dr. Jekyll y Mr. Hyde,200,0.5,Robert Louis Stevenson
N,Las aventuras de Tom Sawye,200,0.5,Mark Twain
N,Harry Potter y las reliquias de la muerte (Harry Potter 7),100,0.4,J. K. Rowling
N,La caida de los gigantes,104,0.4,Ken Follett
N,Dracula,102,0.4,Bram Stoker
N,El tango de la guardia vieja,102,0.4,Arturo Perez-Reverte
N,Ulises,100,0.5,James Joyce
N,Ensayo sobre la ceguera,88,0.4,Jose Saramago
N,El gato negro y otros cuentos,86,0.4,Edgar Allan Poe
N,El ruido y la furia,102,0.4,William Faulkner
N,El proceso,105,0.4,Franz Kafka
N,El club Dumas,98,0.7,Arturo Perez-Reverte
N,Progreso del peregrino,98,0.4,John Bunyan
N,El italiano,98,0.4,Arturo Perez-Reverte
N,El invierno del mundo,88,0.4,Ken Follett
N,El reino de este mundo,102,0.4,Alejo Carpentier
N,Vidas intrepidas,100,0.4,Julio Albi de la Cuesta
N,Un asunto de honor,100,0.4,Arturo Perez-Reverte
N,Los renglones torcidos de Dios,104,0.4,Torcuato Luca de Tena
N,Jane Eyre,105,0.4,Charlotte Bront 
N,Mudlarking,90,0.4,Lara Maiklem
E,ANIMALES: UNA EXPLORACION DEL MUNDO ZOOLOGICO,350,2.5,22685,2018
N,Harry Potter y la piedra filosofal (Harry Potter 1),87,0.4,J. K. Rowling
N,Palmeras en la nieve,98,0.4,Luz Gabas
N,El conde de Montecristo,120,0.7,Alexandre Dumas
N,Alicia en el pais de las maravillas,100,0.4,Lewis Carroll
N,El extranio caso del Dr. Jekyll y Mr. Hyde,100,0.7,Robert Louis Stevenson
N,El medievo cristiano,100,0.4,Mario Merlino
N,Justine o los infortunios,100,0.4,Charles Dickens
N,Ricardo III,100,0.7,William Shakespeare
N,Pasaje a la India,100,0.4,E. M. Forster
N,Los miserables,100,0.4,Victor Hugo
